score_threshold,patient_count,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,youden_j
0.011900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.012900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.013900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
