tail_rank,role_scope,role_scope_description,aggregation,feature_type,feature_name,candidate_grade,combined_direction,old_direction,new_direction,direction_consistent,old_directional_auc,new_directional_auc,combined_directional_auc,combined_patient_n,combined_patient_n_with_feature,combined_positive_n,combined_negative_n,old_negative_n,new_negative_n,nonpatient_P99,nonpatient_P995,nonpatient_P999,nonpatient_max,old_nonpatient_P99,new_nonpatient_P99,old_patient_above_old_P99_rate,new_patient_above_new_P99_rate,cross_data_p99_relative_diff,cross_data_tail_consistent,patient_P90,patient_P99,patient_above_P99_rate,patient_above_P995_rate,patient_above_P999_rate,tail_separation_ratio,combined_fp_at_P99,combined_fp_at_P995,combined_fp_at_P999,combined_fp_rate_at_P99,combined_fp_rate_at_P995,combined_fp_rate_at_P999,strict_filter_pass,filter_failure_reasons
21,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,bsdiff_mouthUpperUp_abs,,patient_higher,patient_higher,nonpatient_higher,false,0.538575,0.520178,0.560514,605,605,378,227,168,59,0.187378,0.192268,0.226337,0.236212,0.191238,0.152760,0.062500,0.023810,0.201206,true,0.160815,0.307832,0.066138,0.058201,0.042328,0.858237,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.066138 < 0.150000; tail_separation_ratio 0.858237 < 1.500000
22,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_all_mesh_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.544997,0.559113,0.545149,604,604,378,226,168,58,0.089288,0.093728,0.098551,0.099781,0.091174,0.079221,0.041667,0.023810,0.131098,true,0.076476,0.108837,0.042328,0.026455,0.023810,0.856510,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.856510 < 1.500000
23,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_lip_region_point_spread_asym,,patient_higher,nonpatient_higher,patient_higher,false,0.501940,0.564568,0.548773,605,605,378,227,168,59,0.150714,0.154299,0.156960,0.157675,0.153413,0.136193,0.011905,0.071429,0.112247,true,0.128887,0.152724,0.018519,0.010582,0.007937,0.855176,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.018519 < 0.150000; tail_separation_ratio 0.855176 < 1.500000
24,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,expression_blendshape,bs_eyeBlinkRight,reference_only,patient_higher,patient_higher,patient_higher,true,0.543642,0.645731,0.556498,604,604,378,226,168,58,0.513942,0.616232,0.697390,0.716714,0.552595,0.443090,0.011905,0.166667,0.198165,true,0.437806,0.555005,0.042328,0.007937,0.002646,0.851859,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.851859 < 1.500000
25,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,expression_blendshape,bs_eyeBlinkRight,reference_only,patient_higher,patient_higher,patient_higher,true,0.544156,0.644910,0.556428,604,604,378,226,168,58,0.513942,0.616232,0.697390,0.716714,0.552595,0.443090,0.011905,0.166667,0.198165,true,0.437806,0.555005,0.039683,0.007937,0.002646,0.851859,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.851859 < 1.500000
26,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_all_mesh_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.564272,0.566182,0.546593,605,605,378,227,168,59,0.071203,0.072981,0.078501,0.080042,0.070751,0.071353,0.077381,0.000000,0.008445,true,0.060485,0.086892,0.066138,0.058201,0.029101,0.849468,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.066138 < 0.150000; tail_separation_ratio 0.849468 < 1.500000
27,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_all_mesh_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.567319,0.533898,0.572431,605,605,378,227,168,59,0.094938,0.099180,0.103540,0.104638,0.091174,0.095157,0.053571,0.000000,0.041860,true,0.080061,0.111479,0.031746,0.029101,0.021164,0.843302,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.031746 < 0.150000; tail_separation_ratio 0.843302 < 1.500000
28,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_brow_inner_height_asym,,patient_higher,patient_higher,patient_higher,true,0.529390,0.548030,0.553653,604,604,378,226,168,58,0.048807,0.056073,0.057131,0.057155,0.051814,0.042714,0.041667,0.023810,0.175627,true,0.041130,0.059699,0.058201,0.018519,0.018519,0.842714,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.058201 < 0.150000; tail_separation_ratio 0.842714 < 1.500000
29,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_face_oval_region_point_spread_asym,,patient_higher,patient_higher,patient_higher,false,0.521949,0.562397,0.546390,604,604,378,226,168,58,0.088156,0.094107,0.097497,0.098254,0.090694,0.062096,0.023810,0.071429,0.315321,false,0.074049,0.096450,0.026455,0.018519,0.010582,0.839980,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.026455 < 0.150000; tail_separation_ratio 0.839980 < 1.500000; cross_data_tail_consistent is false
30,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_face_oval_region_point_spread_asym,,patient_higher,patient_higher,patient_higher,false,0.520674,0.555419,0.545126,604,604,378,226,168,58,0.088156,0.094107,0.097497,0.098254,0.090694,0.062096,0.023810,0.071429,0.315321,false,0.074049,0.096450,0.026455,0.018519,0.010582,0.839980,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.026455 < 0.150000; tail_separation_ratio 0.839980 < 1.500000; cross_data_tail_consistent is false
